id,集團
1301,台塑
1303,台塑
1326,台塑
1434,台塑
2408,台塑
3532,台塑
6505,台塑
8046,台塑
8131,台塑
1605,華新
2344,華新
2492,華新
3049,華新
4919,華新
5469,華新
6116,華新
6173,華新
6191,華新
6284,華新
8110,華新
8183,華新
1304,台聚
1305,台聚
1308,台聚
1309,台聚
8121,台聚
1102,遠東
1402,遠東
1460,遠東
1710,遠東
2606,遠東
2845,遠東
2903,遠東
4904,遠東
1417,裕隆
1525,裕隆
2201,裕隆
2204,裕隆
2227,裕隆
5314,裕隆
9941,裕隆
2314,鴻海
2317,鴻海
2328,鴻海
2354,鴻海
3062,鴻海
3149,鴻海
3413,鴻海
3437,鴻海
3481,鴻海
3498,鴻海
3580,鴻海
3682,鴻海
4958,鴻海
4961,鴻海
5243,鴻海
6196,鴻海
6414,鴻海
6416,鴻海
6451,鴻海
6456,鴻海
6668,鴻海
2303,聯電
2363,聯電
3014,聯電
3034,聯電
3035,聯電
3037,聯電
3094,聯電
3227,聯電
6168,聯電
6202,聯電
2330,台積電
3374,台積電
3443,台積電
5347,台積電
2454,聯發科
3041,聯發科
6533,聯發科
2352,明基友達
2397,明基友達
2409,明基友達
3380,明基友達
3698,明基友達
4116,明基友達
5234,明基友達
6112,明基友達
6120,明基友達
8163,明基友達
8215,明基友達
2374,和碩
3189,和碩
3515,和碩
3694,和碩
4938,和碩
5264,和碩
6491,和碩
3231,緯創資通
4953,緯創資通
6285,緯創資通
6669,緯創資通
2327,國巨
2375,國巨
2456,國巨
